constituency,candidate,party,"Total Votes"
"ALANDUR - 28","G.DANIEL ANTONYRAJ",Independent,19
"ALANDUR - 28","MAHESH KUMAR",Independent,105
"ALANDUR - 28",G.RAMANAN,Independent,17
"ALANDUR - 28",K.VELAYUDHAM,Independent,51
"ALANDUR - 28",M.HARISH,Independent,853
"ALANDUR - 28",NOTA,"None of the Above",1263
"SRIPERUMBUDUR - 29","M. SINDHU EZHILARASAN","Naam Tamilar Katchi",13150
"SRIPERUMBUDUR - 29","K. SELVAPERUNTHAGAI","Indian National Congress",93365
"SRIPERUMBUDUR - 29","K. PALANI","All India Anna Dravida Munnetra Kazhagam",73182
"SRIPERUMBUDUR - 29","A. GURUANANDHAN","Anaithinthiya Anna Dravida Makkal Seyal katchi",479
"SRIPERUMBUDUR - 29",A.GNANASEKARAN,"Tamizhaga Vaazhvurimai Katchi",271
"SRIPERUMBUDUR - 29",M.TAMILARASAN,"Communist Party of India (Marxist-Leninist) (Liberation)",511
"SRIPERUMBUDUR - 29",THENNARASU.K,"Tamilaga Vettri Kazhagam",147611
"SRIPERUMBUDUR - 29",D.PURUSHOTHAMAN,"All India Puratchi Thalaivar Makkal Munnettra Kazhagam",489
"SRIPERUMBUDUR - 29","ELANGOVAN SIVAKUMAR",Independent,112
"SRIPERUMBUDUR - 29","J. NITHYA",Independent,176
"SRIPERUMBUDUR - 29","E. MURUGAN",Independent,112
"SRIPERUMBUDUR - 29","G. RAJATHI",Independent,211
"SRIPERUMBUDUR - 29","P. VEDHAGIRI",Independent,258
"SRIPERUMBUDUR - 29",NOTA,"None of the Above",1161
"PALLAVARAM - 30",DR.R.KARTHIKEYAN,"Naam Tamilar Katchi",14065
"PALLAVARAM - 30",N.BHARATHI,"Bahujan Samaj Party",562
"PALLAVARAM - 30",D.MURUGESAN,"Desiya Murpokku Dravida Kazhagam",78918
"PALLAVARAM - 30",V.VENKATESAN,"All India Anna Dravida Munnetra Kazhagam",48921
"PALLAVARAM - 30","T.AMIRTHA KANTHAN","Naam Indiar Party",349
"PALLAVARAM - 30",M.L.RAVI,"Desiya Makkal Sakthi Katchi",377
"PALLAVARAM - 30",J.KAMATCHI,"Tamilaga Vettri Kazhagam",133611
"PALLAVARAM - 30",A.THANGARAJ,"Puthiya Tamilagam",555
"PALLAVARAM - 30",G.RAMESHBABU,"Indhu Dravida Makkal Katchi",283
"PALLAVARAM - 30",S.RAHAMATHULLA,"Tamizhaga Vaazhvurimai Katchi",294
"PALLAVARAM - 30",B.RAJESWARI,"Naadaalum Makkal Katchi",443
"PALLAVARAM - 30",R.RAJKUMAR,"All India Puratchi Thalaivar Makkal Munnettra Kazhagam",231
"PALLAVARAM - 30",M.SANKAR,Independent,78
"PALLAVARAM - 30",S.SATHIYARAJ,Independent,235
"PALLAVARAM - 30",M.SIVAKUMAR,Independent,322
"PALLAVARAM - 30","S.SUNDARAMOORTHY PANDIYAR",Independent,180
"PALLAVARAM - 30",R.MUTHUKUMAR,Independent,298
"PALLAVARAM - 30",P.RAVICHANDRAN,Independent,103
"PALLAVARAM - 30",N.RAMKUMAR,Independent,429
"PALLAVARAM - 30","RAJESH T R",Independent,1277
"PALLAVARAM - 30","S.VETRI VEL",Independent,99
"PALLAVARAM - 30",R.JAWAHAR,Independent,233
"PALLAVARAM - 30","G.JOHN PANDIAN",Independent,212
"PALLAVARAM - 30",NOTA,"None of the Above",1602
"TAMBARAM - 31",C.RAJENDRAN,"All India Anna Dravida Munnetra Kazhagam",61991
"TAMBARAM - 31","R.S.KIRUTHIKA DEVI","Dravida Munnetra Kazhagam",83346
"TAMBARAM - 31",S.TAMILCHELVI,"Naam Tamilar Katchi",11627
"TAMBARAM - 31",M.RAJA,"Bahujan Samaj Party",290
"TAMBARAM - 31",D.SARATHKUMAR,"Tamilaga Vettri Kazhagam",118967
"TAMBARAM - 31",SIVARAMAN.S,"Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi",158
"TAMBARAM - 31",THAMBIRAJ.E,"Naam Indiar Party",69
"TAMBARAM - 31",S.PARTHIBAN,"Democratic National Allegiance",50
"TAMBARAM - 31","P.PON RAJA","Tamizhaga Vaazhvurimai Katchi",88
"TAMBARAM - 31",S.KARTHIK,Independent,115
"TAMBARAM - 31","SARATHKUMAR. R",Independent,162
"TAMBARAM - 31",T.DHIVAKARAN,Independent,98
"TAMBARAM - 31",S.BALASUBRAMANIAN,Independent,62
"TAMBARAM - 31",R.RAVIKUMAR,Independent,94
"TAMBARAM - 31","M. JACOB",Independent,180
"TAMBARAM - 31",NOTA,"None of the Above",1512
"CHENGALPATTU - 32",AMUTHA.N,"Naam Tamilar Katchi",12032
"CHENGALPATTU - 32",M.GAJENDRAN,"All India Anna Dravida Munnetra Kazhagam",69763
"CHENGALPATTU - 32",KARTHIKDHANDAPANI,"Dravida Munnetra Kazhagam",101495
"CHENGALPATTU - 32","S. SARAVANAN","Bahujan Samaj Party",374
"CHENGALPATTU - 32","S.SELVAM (A) CHELLA","Tamizhaga Vaazhvurimai Katchi",381
"CHENGALPATTU - 32","S. THIYAGARAJAN","Tamilaga Vettri Kazhagam",137136
"CHENGALPATTU - 32",M.ANANDAN,Independent,299
"CHENGALPATTU - 32",A.ESAKKIAPPAN,Independent,122
"CHENGALPATTU - 32",KARTHICK.A,Independent,107
"CHENGALPATTU - 32","G. CHRISTOPHER",Independent,68
"CHENGALPATTU - 32","S.DELHI BABU",Independent,127
"CHENGALPATTU - 32","T. PREM BALAJI",Independent,71
"CHENGALPATTU - 32","V. RAMAKRISHNAN",Independent,166
"CHENGALPATTU - 32",C.VIMALRAJ,Independent,290
"CHENGALPATTU - 32","P.GEORGE DEVADOSS",Independent,184
"CHENGALPATTU - 32",NOTA,"None of the Above",1395
"THIRUPORUR - 33","AMBETH RAJAN","Naam Tamilar Katchi",9616
"THIRUPORUR - 33","R. PANNEERDOSS","Viduthalai Chiruthaigal Katchi",70744
"THIRUPORUR - 33","Dr.D.VINOTH KUMAR","Bahujan Samaj Party",535
"THIRUPORUR - 33",A.SELVARAJ,"Mannin Maithargal Kazhagam",524
"THIRUPORUR - 33","V. DESAPPAN","Samata Party",308
"THIRUPORUR - 33","K. BALU","Pattali Makkal Katchi",67392
"THIRUPORUR - 33",B.VIJAYARAJ,"Tamilaga Vettri Kazhagam",110095
"THIRUPORUR - 33","V M CHANDIRAN",Independent,326
"THIRUPORUR - 33","S. GNANASEKARAN",Independent,205
"THIRUPORUR - 33","D. PANNEERSELVAM",Independent,784
"THIRUPORUR - 33","S. MESHAK",Independent,632
"THIRUPORUR - 33",NOTA,"None of the Above",1248
"CHEYYUR - 34","SINTHANAI SELVAN","Viduthalai Chiruthaigal Katchi",57909
"CHEYYUR - 34","SWATHILAKSHMI SEKAR","Naam Tamilar Katchi",4853
"CHEYYUR - 34","RAJASEKAR. E","All India Anna Dravida Munnetra Kazhagam",63809
"CHEYYUR - 34","GANGADURAI. K","Tamizhaga Vaazhvurimai Katchi",375
"CHEYYUR - 34","MURUGAVEL. A","All India Puratchi Thalaivar Makkal Munnettra Kazhagam",408
"CHEYYUR - 34","MOHAN RAJA.M.G.K","Tamilaga Vettri Kazhagam",58141
"CHEYYUR - 34","AMBETHKAR. S",Independent,319
"CHEYYUR - 34","ARUN. C",Independent,79
"CHEYYUR - 34","EZHIL. E",Independent,135
"CHEYYUR - 34","KRISHNAKANTH. E",Independent,103
"CHEYYUR - 34","GOPIKRISHNA. D",Independent,168
"CHEYYUR - 34","RAJA. K",Independent,345
"CHEYYUR - 34","JEGAN. M",Independent,157
"CHEYYUR - 34",NOTA,"None of the Above",783
"MADURANTAKAM - 35","S.AMULU PONMALAR","Dravida Munnetra Kazhagam",59838
"MADURANTAKAM - 35","MARAGATHAM KUMARAVEL.K","All India Anna Dravida Munnetra Kazhagam",69284
"MADURANTAKAM - 35","NEELAM E.RAMKUMAR","Bahujan Samaj Party",374
"MADURANTAKAM - 35",G.JANAKIRAMAN,"Naam Tamilar Katchi",4950
"MADURANTAKAM - 35","EZHIL KATHARINE EZHILMALAI","Tamilaga Vettri Kazhagam",62090
"MADURANTAKAM - 35",R.SUGAN,"All India Puratchi Thalaivar Makkal Munnettra Kazhagam",237
"MADURANTAKAM - 35",S.PUNNIYAKOTTI,"Tamizhaga Vaazhvurimai Katchi",206
"MADURANTAKAM - 35",M.KADIRVEL,Independent,118
"MADURANTAKAM - 35",RANJITHAM.M,Independent,357
"MADURANTAKAM - 35",NOTA,"None of the Above",797
"UTHIRAMERUR - 36",SUNDAR.K,"Dravida Munnetra Kazhagam",70694
"UTHIRAMERUR - 36","MARAM MASILAMANI.B.S","Naam Tamilar Katchi",5783
"UTHIRAMERUR - 36",SIVAKUMAR.A,"Desiya Makkal Sakthi Katchi",342
"UTHIRAMERUR - 36",MAGESHKUMAR.P,"Pattali Makkal Katchi",62809
"UTHIRAMERUR - 36",MUNIRATHINAM.J,"Tamilaga Vettri Kazhagam",84917
"UTHIRAMERUR - 36",JAKIRUSAN.D,"Tamizhaga Vaazhvurimai Katchi",235
"UTHIRAMERUR - 36",ANBU.V,Independent,221
"UTHIRAMERUR - 36",KAMALAKANNAN.K,Independent,70
"UTHIRAMERUR - 36",GUNASEKAR.V,Independent,125
"UTHIRAMERUR - 36",CITTIBABU.R,Independent,95
"UTHIRAMERUR - 36",DEVARAJAN.C,Independent,551
"UTHIRAMERUR - 36",DEVENTHIRAMOORTHY.S,Independent,390
"UTHIRAMERUR - 36","MAGESH KUMAR.T",Independent,207
"UTHIRAMERUR - 36",MAHESWARI.J,Independent,212
"UTHIRAMERUR - 36",NOTA,"None of the Above",1114
"KANCHEEPURAM - 37","V. SOMASUNDARAM","All India Anna Dravida Munnetra Kazhagam",75862
"KANCHEEPURAM - 37","NITHYA SUGUMAR","Dravida Munnetra Kazhagam",69344
"KANCHEEPURAM - 37",VETRISELVI,"Naam Tamilar Katchi",6950
"KANCHEEPURAM - 37","R.V. RANJITHKUMAR","Tamilaga Vettri Kazhagam",91350
"KANCHEEPURAM - 37","M. NANDHAKUMAR","Anti Corruption Dynamic Party",217
"KANCHEEPURAM - 37","V. NARESH","Tamizhaga Vaazhvurimai Katchi",178
"KANCHEEPURAM - 37","P. VENKATESAN","All India Puratchi Thalaivar Makkal Munnettra Kazhagam",110
"KANCHEEPURAM - 37","M. SOMASUNDARAM",Independent,68
"KANCHEEPURAM - 37","V. SOMASUNDARAM",Independent,78
"KANCHEEPURAM - 37",GNANAMOORTHY,Independent,74
"KANCHEEPURAM - 37","C. DILLIBABU",Independent,42
"KANCHEEPURAM - 37","E. DHAKSHNAMOORTHY",Independent,178
"KANCHEEPURAM - 37","G. BABU",Independent,364
"KANCHEEPURAM - 37","M. BALAJI",Independent,138
"KANCHEEPURAM - 37","M. MEGANATHAN",Independent,286
"KANCHEEPURAM - 37",NOTA,"None of the Above",1078
"ARAKKONAM - 38","EZHIL CAROLINE","Viduthalai Chiruthaigal Katchi",50655
"ARAKKONAM - 38","P. SUDHAKAR","Bahujan Samaj Party",451
"ARAKKONAM - 38","S. RAVI","All India Anna Dravida Munnetra Kazhagam",50052
"ARAKKONAM - 38","K. RAJKUMAR","Naam Tamilar Katchi",5191
"ARAKKONAM - 38","V. GANDHIRAJ","Tamilaga Vettri Kazhagam",73776
"ARAKKONAM - 38","N. LAKSHMIPATHY","Tamizhaga Vaazhvurimai Katchi",229
"ARAKKONAM - 38","VETRIVEL. M","Aanaithinthiya Jananayaka Pathukappu Kazhagam",251
"ARAKKONAM - 38","P. GOVINDARAJ",Independent,70
"ARAKKONAM - 38","M. SANTHANAM",Independent,150
"ARAKKONAM - 38","N. PRAVEENKUMAR",Independent,238
"ARAKKONAM - 38","M. MANIKANDAN",Independent,75
"ARAKKONAM - 38","T. MURALIDHARAN",Independent,197
"ARAKKONAM - 38","G. MOHAN",Independent,106
"ARAKKONAM - 38",NOTA,"None of the Above",899
"SHOLINGUR - 39","A.ASHOK KUMAR","Naam Tamilar Katchi",6468
"SHOLINGUR - 39",M.GIRIDHARAN,"Bahujan Samaj Party",378
"SHOLINGUR - 39",A.M.MUNIRATHINAM,"Indian National Congress",57997
"SHOLINGUR - 39",G.KAPIL,"Tamilaga Vettri Kazhagam",84506
"SHOLINGUR - 39",K.SARAVANAN,"Pattali Makkal Katchi",78820
"SHOLINGUR - 39",SUDHAKAR.K,"Tamizhaga Vaazhvurimai Katchi",490
"SHOLINGUR - 39",S.SENTHILKUMAR,"Vanchit Bahujan Aaghadi",197
"SHOLINGUR - 39",R.VINOTH,"Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi",133
"SHOLINGUR - 39",A.ANANDAN,Independent,133
"SHOLINGUR - 39",S.ILAYARAJA,Independent,124
"SHOLINGUR - 39",KAVIYARASAN.SUBIRAMANI,Independent,249
"SHOLINGUR - 39",N.GOPALAKRISHNAN,Independent,310
"SHOLINGUR - 39",V.SADHASIVAM,Independent,234
"SHOLINGUR - 39",SANTHANAM.R,Independent,277
"SHOLINGUR - 39",R.SETHUPATHI,Independent,103
"SHOLINGUR - 39",M.DINESH,Independent,349
"SHOLINGUR - 39",A.PALANI,Independent,183
"SHOLINGUR - 39",N.MANI,Independent,284
"SHOLINGUR - 39",K.MUNISAMY,Independent,532
"SHOLINGUR - 39",V.MUNIRATHINAM,Independent,345
"SHOLINGUR - 39",T.RAJENDRAN,Independent,316
"SHOLINGUR - 39",M.VIJAYAN,Independent,548
"SHOLINGUR - 39",V.HEMACHANDIRAN,Independent,136
"SHOLINGUR - 39",NOTA,"None of the Above",572
"KATPADI - 40","S. THIRUKKUMARAN","Naam Tamilar Katchi",4625
"KATPADI - 40",DURAIMURUGAN,"Dravida Munnetra Kazhagam",62225
"KATPADI - 40","J. RAMESH","Bahujan Samaj Party",407
"KATPADI - 40","V. RAMU","All India Anna Dravida Munnetra Kazhagam",63998
"KATPADI - 40","INDU .W","Tamil Manila Murpokku Dravida Kazhagam",319
"KATPADI - 40","GANESAN .P","Indhu Dravida Makkal Katchi",79
"KATPADI - 40","V. CHANDRAN","All India Puratchi Thalaivar Makkal Munnettra Kazhagam",187
"KATPADI - 40","DR M SUDHAKAR","Tamilaga Vettri Kazhagam",69868
"KATPADI - 40","S. BALAJI","Tamil Nadu Ilangyar Katchi",140
"KATPADI - 40","S. RAMAN",Independent,45
"KATPADI - 40","SARAVANAN .D",Independent,54
"KATPADI - 40","M. SUTHAKAR",Independent,145
"KATPADI - 40",DHANASEKAR,Independent,122
"KATPADI - 40",DHANANCHEZHIYAN,Independent,215
"KATPADI - 40","D. RAMU",Independent,323
"KATPADI - 40",NOTA,"None of the Above",745
"RANIPET - 41","R. GANDHI","Dravida Munnetra Kazhagam",85362
"RANIPET - 41","V.M. KARTHIKEYAN","Bharatiya Janata Party",32060
"RANIPET - 41","THAARIKHA SALMAN","Naam Tamilar Katchi",7236
"RANIPET - 41",J.JENIFERJANET,"Bahujan Samaj Party",620
"RANIPET - 41",THAHIRA,"Tamilaga Vettri Kazhagam",91149
"RANIPET - 41",S.MUNISAMY,"Anti Corruption Dynamic Party",229
"RANIPET - 41",N.VISWANATHAN,"Tamizhaga Vaazhvurimai Katchi",370
"RANIPET - 41","J. HASSAIN",Independent,517
"RANIPET - 41","K. SAKTHIVEL NATHAN",Independent,533
"RANIPET - 41","N. SUGUMAR",Independent,94
"RANIPET - 41","V. SURESH",Independent,166
"RANIPET - 41","V. DHARMENDIRAN",Independent,356
"RANIPET - 41","A. NARESHKUMAR",Independent,754
"RANIPET - 41","J. MOHAN",Independent,155
"RANIPET - 41",S.JAYAPRAKASH,Independent,228
"RANIPET - 41",NOTA,"None of the Above",1209
"ARCOT - 42","ARCHANA NARASIMMAN","Naam Tamilar Katchi",5518
"ARCOT - 42",J.L.ESWARAPPAN,"Dravida Munnetra Kazhagam",48840
"ARCOT - 42",S.M.SUKUMAR,"All India Anna Dravida Munnetra Kazhagam",105608
"ARCOT - 42",M.VASANTHAKUMAR,"Bahujan Samaj Party",468
"ARCOT - 42",V.GANDHI,"Vanchit Bahujan Aaghadi",197
"ARCOT - 42",S.P.SHANMUGAM,"Aanaithinthiya Jananayaka Pathukappu Kazhagam",252
"ARCOT - 42",V.SEETHARAMAN,"Anti Corruption Dynamic Party",168
"ARCOT - 42","G.VIJAY MOHAN","Tamilaga Vettri Kazhagam",62888
"ARCOT - 42",P.VENKATESAN,"Tamizhaga Vaazhvurimai Katchi",151
"ARCOT - 42",R.INDHUMATHI,Independent,58
"ARCOT - 42",ESWARAPPAN.M,Independent,103
"ARCOT - 42",V.SHANTHI,Independent,113
"ARCOT - 42",K.MANIKANDAN,Independent,397
"ARCOT - 42",A.VIJAY,Independent,369
"ARCOT - 42",NOTA,"None of the Above",656
"VELLORE - 43","S R K APPU","All India Anna Dravida Munnetra Kazhagam",45458
"VELLORE - 43",P.KARTHIKEYAN,"Dravida Munnetra Kazhagam",66255
"VELLORE - 43",A.SONIYA,"Naam Tamilar Katchi",3793
"VELLORE - 43",S.M.IRSHAD,"Tamizhaga Vaazhvurimai Katchi",135
"VELLORE - 43","S.GIRIDHARA PRASAD","Party for the Rights of Other backward Classes",103
"VELLORE - 43",K.MUNIYAPPAN,"ALL PENSIONER'S PARTY",55
"VELLORE - 43",K.M.VINAAYAGAM,"Viro Ke Vir Indian Party",88
"VELLORE - 43",K.VIMALA,"Naam Indiar Party",195
"VELLORE - 43","M.M.VINOTH KANNAN","Tamilaga Vettri Kazhagam",73032
"VELLORE - 43",M.VINOTHKUMAR,"Anna MGR Dravida Makkal Kalgam",131
"VELLORE - 43",S.APPU,Independent,103
"VELLORE - 43","S.MADHAN KUMAR",Independent,123
