constituency,candidate,party,"Total Votes"
"DR.RADHAKRISHNAN NAGAR - 11",D.KARTHIKEYAN,"Samata Party",44
"DR.RADHAKRISHNAN NAGAR - 11",CHANDRASEKAR,"Tamizhaga Murpokku Makkal Katchi",47
"DR.RADHAKRISHNAN NAGAR - 11",B.NAVIN,"Tamizhaga Vaazhvurimai Katchi",338
"DR.RADHAKRISHNAN NAGAR - 11","N. MARIE WILSON","Tamilaga Vettri Kazhagam",97800
"DR.RADHAKRISHNAN NAGAR - 11",A.MOHANRAJ,"Socialist Unity Centre Of India (COMMUNIST)",179
"DR.RADHAKRISHNAN NAGAR - 11",AMUDHA.N,Independent,30
"DR.RADHAKRISHNAN NAGAR - 11","D. AJITH KUMAR",Independent,32
"DR.RADHAKRISHNAN NAGAR - 11",S.EMMANUVEL,Independent,24
"DR.RADHAKRISHNAN NAGAR - 11","A. USHA",Independent,41
"DR.RADHAKRISHNAN NAGAR - 11",R.ETHIRAJ,Independent,44
"DR.RADHAKRISHNAN NAGAR - 11",V.SHANKAR,Independent,40
"DR.RADHAKRISHNAN NAGAR - 11","M. SATHISH",Independent,112
"DR.RADHAKRISHNAN NAGAR - 11",J.SARAVANAKUMAR,Independent,149
"DR.RADHAKRISHNAN NAGAR - 11",L.SARAVANAN,Independent,54
"DR.RADHAKRISHNAN NAGAR - 11",V.SUDHAKAR,Independent,86
"DR.RADHAKRISHNAN NAGAR - 11","K. SUJITH",Independent,25
"DR.RADHAKRISHNAN NAGAR - 11",R.TAMILARASAN,Independent,36
"DR.RADHAKRISHNAN NAGAR - 11",TAMILSELVAN,Independent,25
"DR.RADHAKRISHNAN NAGAR - 11",R.DEVAKUMAR,Independent,40
"DR.RADHAKRISHNAN NAGAR - 11",D.PRABHU,Independent,211
"DR.RADHAKRISHNAN NAGAR - 11","G. BOTHI RAJAN",Independent,54
"DR.RADHAKRISHNAN NAGAR - 11",MANIKANDAN.H,Independent,47
"DR.RADHAKRISHNAN NAGAR - 11","G. MADHAN KUMAR",Independent,17
"DR.RADHAKRISHNAN NAGAR - 11","V. MADHAN MOHAN",Independent,35
"DR.RADHAKRISHNAN NAGAR - 11","P. MARIMUTHU",Independent,35
"DR.RADHAKRISHNAN NAGAR - 11","R. MUTHU CHELLA BHARATHI",Independent,39
"DR.RADHAKRISHNAN NAGAR - 11","K. MURALI",Independent,91
"DR.RADHAKRISHNAN NAGAR - 11","J.MURALI KRISHNAN",Independent,47
"DR.RADHAKRISHNAN NAGAR - 11","C. RAJAMANICKAM",Independent,65
"DR.RADHAKRISHNAN NAGAR - 11",J.VIJAYAN,Independent,26
"DR.RADHAKRISHNAN NAGAR - 11",A.VIJAY,Independent,71
"DR.RADHAKRISHNAN NAGAR - 11","G. VIJAY",Independent,58
"DR.RADHAKRISHNAN NAGAR - 11",C.JANARTHANAN,Independent,42
"DR.RADHAKRISHNAN NAGAR - 11","D. JANARTHANAN",Independent,37
"DR.RADHAKRISHNAN NAGAR - 11",NOTA,"None of the Above",561
"PERAMBUR - 12","R.D. SHEKAR","Dravida Munnetra Kazhagam",66650
"PERAMBUR - 12","S. VETRI THAMIZHAN","Naam Tamilar Katchi",5114
"PERAMBUR - 12","VETRI VEL SELVAM","Bahujan Samaj Party",174
"PERAMBUR - 12","ASHLIN BELMEN .A.S","Tamilnadu Mahatma Gandhi Makkal Katchi",71
"PERAMBUR - 12","M. GEETA","Thakkam Katchi",47
"PERAMBUR - 12","DR.R. SARAVANA PERUMAL","Makkal Nalvaazhvuk Katchi",39
"PERAMBUR - 12",SIVAKUMAR.V,"Tamil Telugu National Party",30
"PERAMBUR - 12","S. SURESHKUMAR","Makkalatchi Katchi",46
"PERAMBUR - 12","J. SEBASTIN","Socialist Unity Centre Of India (COMMUNIST)",101
"PERAMBUR - 12","M. THILAGABAMA","Pattali Makkal Katchi",8561
"PERAMBUR - 12","K.M. DEVAN","Makkal Murasu Katchi",94
"PERAMBUR - 12","S. MALATHI","Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi",32
"PERAMBUR - 12","A. RAJARAM","Republican Party of India (Athawale)",256
"PERAMBUR - 12",VIJAY,"All India Jananayaka Makkal Kazhagam",216
"PERAMBUR - 12","D.V. VENUGOPAL","Tamizhaga Vaazhvurimai Katchi",98
"PERAMBUR - 12","C. JOSEPH VIJAY","Tamilaga Vettri Kazhagam",120365
"PERAMBUR - 12","AGNI AALVAR",Independent,230
"PERAMBUR - 12",AMALA.R,Independent,32
"PERAMBUR - 12",AZARUTHEEN.M,Independent,78
"PERAMBUR - 12","P. ESAKKI MUTHU",Independent,14
"PERAMBUR - 12","E. UDHAYA KUMAR",Independent,16
"PERAMBUR - 12","M. KADHIRAVAN",Independent,41
"PERAMBUR - 12","P. GUNASEKAR",Independent,18
"PERAMBUR - 12","B. SATHISH KUMAR",Independent,19
"PERAMBUR - 12",SATHISH.B,Independent,19
"PERAMBUR - 12","P. THANGAMANI",Independent,78
"PERAMBUR - 12","M. TAMILSELVAM",Independent,12
"PERAMBUR - 12","H. DHANASEKAR",Independent,28
"PERAMBUR - 12","M.I. THAHIRA BANU",Independent,33
"PERAMBUR - 12",NIVETHA,Independent,70
"PERAMBUR - 12","B. BALAJI",Independent,93
"PERAMBUR - 12","P. PONRAJ",Independent,63
"PERAMBUR - 12",BOWDHARAJ,Independent,118
"PERAMBUR - 12","DR.D. MADAN",Independent,95
"PERAMBUR - 12","DR.G. MOORTHY",Independent,53
"PERAMBUR - 12","S. MICHAEL",Independent,24
"PERAMBUR - 12","S. RAMESH",Independent,17
"PERAMBUR - 12","V. RAJI",Independent,148
"PERAMBUR - 12","S. RAJESH KUMAR",Independent,21
"PERAMBUR - 12","REEGAN PRABHU",Independent,31
"PERAMBUR - 12","G. RUTHRA KUMAR",Independent,238
"PERAMBUR - 12","VIJAY. G",Independent,90
"PERAMBUR - 12","S. VISHNU VARTHAN",Independent,13
"PERAMBUR - 12","B. VENKATESAN",Independent,26
"PERAMBUR - 12","R. JAYASEELAN",Independent,51
"PERAMBUR - 12","S. JOSEPH",Independent,77
"PERAMBUR - 12","M. JOSEPH",Independent,43
"PERAMBUR - 12",NOTA,"None of the Above",601
"KOLATHUR - 13","P. SANTHANA KRISHNAN","All India Anna Dravida Munnetra Kazhagam",18430
"KOLATHUR - 13",SUBASHINI,"Bahujan Samaj Party",236
"KOLATHUR - 13","SOUNDARA PANDIAN LUDER SETH","Naam Tamilar Katchi",5046
"KOLATHUR - 13","M. K. STALIN","Dravida Munnetra Kazhagam",74202
"KOLATHUR - 13",AATHITHYA,"Samata Party",181
"KOLATHUR - 13","E. RAAMADASAN","Makkal Nalvaazhvuk Katchi",49
